"","PUMA00","PUMA10","ADJINC","AGEP","CIT","COW","ENG","FER","INTP","JWMNP","LANX","MAR","MIG","NWAB","NWAV","NWLA","NWLK","NWRE","OIP","PAP","RETP","SCH","SCHL","SEMP","SEX","SSIP","SSP","WAGP","WKHP","ANC1P05","ANC1P12","DECADE","DIS","ESR","FOD1P","HICOV","NATIVITY","NOP","OCCP10","OCCP12","PERNP","PINCP","POBP05","POBP12","PRIVCOV","PUBCOV","RAC1P","SCIENGP","WAOB","FENGP","PWGTP"
"150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151",-9,7306,1024037,60,5,1,4,NA,0,25,1,3,1,3,5,3,3,3,0,0,0,1,1,0,1,0,0,23000,40,-9,290,5,2,1,NA,1,2,NA,"N.A.","4230",23000,23000,-9,303,1,2,1,NA,3,0,13
"152",-9,11103,1024037,32,1,1,1,2,0,30,1,1,1,3,5,3,3,3,0,0,0,1,19,0,2,0,0,21100,40,-9,210,NA,2,1,NA,2,1,NA,"N.A.","5860",21100,21100,-9,6,2,2,1,NA,1,0,15
"153",-9,3758,1041654,59,1,1,NA,NA,0,25,2,1,1,3,5,3,3,3,0,0,0,1,16,0,1,0,0,22000,40,-9,902,NA,2,1,NA,1,1,NA,"N.A.","3930",22000,22000,-9,22,2,1,2,NA,1,0,22
"154",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155",6114,-9,1094136,51,5,1,3,NA,0,NA,1,5,1,2,5,2,2,3,0,0,0,1,20,0,2,0,0,0,NA,210,-9,6,2,6,NA,2,2,NA,"8800","N.A.",0,0,303,-9,2,2,1,NA,3,0,27
"156",6116,-9,1094136,50,5,1,1,2,0,3,1,1,1,2,5,2,2,2,0,0,0,1,19,0,2,0,0,26800,40,720,-9,7,2,1,NA,1,2,NA,"3600","N.A.",26800,26800,233,-9,1,2,6,NA,4,0,14
"157",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158",-9,1100,1041654,35,1,3,NA,2,0,20,2,5,1,3,5,3,3,3,0,0,0,1,21,0,2,0,0,55000,40,-9,720,NA,2,1,6201,1,1,NA,"N.A.","0800",55000,55000,-9,6,1,2,6,2,1,0,14
"159",-9,3734,1041654,46,1,6,NA,NA,0,30,2,4,3,3,5,3,3,3,0,0,0,1,21,31000,1,0,0,0,30,-9,21,NA,2,1,3301,2,1,NA,"N.A.","4250",31000,31000,-9,6,2,2,1,2,1,0,13
"160",4700,-9,1094136,26,1,1,NA,NA,0,NA,2,5,1,2,1,2,1,3,0,0,0,1,17,0,1,0,0,0,NA,32,-9,NA,2,3,NA,2,1,NA,"6600","N.A.",0,0,6,-9,2,2,1,NA,1,0,50
"161",-9,7311,1041654,31,5,1,1,2,0,30,1,1,3,3,5,3,3,3,0,0,0,1,22,0,2,0,0,65000,40,-9,706,7,2,1,6108,1,2,NA,"N.A.","1240",65000,65000,-9,207,1,2,6,2,4,0,21
