"DATE","tenor","rate"
1999-10-01,"GS5",6.03
1999-11-01,"GS5",5.97
1999-12-01,"GS5",6.19
2000-01-01,"GS5",6.58
2000-02-01,"GS5",6.68
2000-03-01,"GS5",6.5
2000-04-01,"GS5",6.26
2000-05-01,"GS5",6.69
2000-06-01,"GS5",6.3
2000-07-01,"GS5",6.18
2000-08-01,"GS5",6.06
2000-09-01,"GS5",5.93
2000-10-01,"GS5",5.78
2000-11-01,"GS5",5.7
2000-12-01,"GS5",5.17
2001-01-01,"GS5",4.86
2001-02-01,"GS5",4.89
2001-03-01,"GS5",4.64
2001-04-01,"GS5",4.76
2001-05-01,"GS5",4.93
2001-06-01,"GS5",4.81
2001-07-01,"GS5",4.76
2001-08-01,"GS5",4.57
2001-09-01,"GS5",4.12
2001-10-01,"GS5",3.91
2001-11-01,"GS5",3.97
2001-12-01,"GS5",4.39
2002-01-01,"GS5",4.34
2002-02-01,"GS5",4.3
2002-03-01,"GS5",4.74
2002-04-01,"GS5",4.65
2002-05-01,"GS5",4.49
2002-06-01,"GS5",4.19
2002-07-01,"GS5",3.81
2002-08-01,"GS5",3.29
2002-09-01,"GS5",2.94
2002-10-01,"GS5",2.95
2002-11-01,"GS5",3.05
2002-12-01,"GS5",3.03
2003-01-01,"GS5",3.05
2003-02-01,"GS5",2.9
2003-03-01,"GS5",2.78
2003-04-01,"GS5",2.93
2003-05-01,"GS5",2.52
2003-06-01,"GS5",2.27
2003-07-01,"GS5",2.87
2003-08-01,"GS5",3.37
2003-09-01,"GS5",3.18
2003-10-01,"GS5",3.19
2003-11-01,"GS5",3.29
2003-12-01,"GS5",3.27
2004-01-01,"GS5",3.12
2004-02-01,"GS5",3.07
2004-03-01,"GS5",2.79
2004-04-01,"GS5",3.39
2004-05-01,"GS5",3.85
2004-06-01,"GS5",3.93
2004-07-01,"GS5",3.69
2004-08-01,"GS5",3.47
2004-09-01,"GS5",3.36
2004-10-01,"GS5",3.35
2004-11-01,"GS5",3.53
2004-12-01,"GS5",3.6
2005-01-01,"GS5",3.71
2005-02-01,"GS5",3.77
2005-03-01,"GS5",4.17
2005-04-01,"GS5",4
2005-05-01,"GS5",3.85
2005-06-01,"GS5",3.77
2005-07-01,"GS5",3.98
2005-08-01,"GS5",4.12
2005-09-01,"GS5",4.01
2005-10-01,"GS5",4.33
2005-11-01,"GS5",4.45
2005-12-01,"GS5",4.39
2006-01-01,"GS5",4.35
2006-02-01,"GS5",4.57
2006-03-01,"GS5",4.72
2006-04-01,"GS5",4.9
2006-05-01,"GS5",5
2006-06-01,"GS5",5.07
2006-07-01,"GS5",5.04
2006-08-01,"GS5",4.82
2006-09-01,"GS5",4.67
2006-10-01,"GS5",4.69
2006-11-01,"GS5",4.58
2006-12-01,"GS5",4.53
2007-01-01,"GS5",4.75
2007-02-01,"GS5",4.71
2007-03-01,"GS5",4.48
2007-04-01,"GS5",4.59
2007-05-01,"GS5",4.67
2007-06-01,"GS5",5.03
2007-07-01,"GS5",4.88
2007-08-01,"GS5",4.43
2007-09-01,"GS5",4.2
2007-10-01,"GS5",4.2
2007-11-01,"GS5",3.67
2007-12-01,"GS5",3.49
2008-01-01,"GS5",2.98
2008-02-01,"GS5",2.78
2008-03-01,"GS5",2.48
2008-04-01,"GS5",2.84
2008-05-01,"GS5",3.15
2008-06-01,"GS5",3.49
2008-07-01,"GS5",3.3
2008-08-01,"GS5",3.14
2008-09-01,"GS5",2.88
2008-10-01,"GS5",2.73
2008-11-01,"GS5",2.29
2008-12-01,"GS5",1.52
2009-01-01,"GS5",1.6
2009-02-01,"GS5",1.87
2009-03-01,"GS5",1.82
2009-04-01,"GS5",1.86
2009-05-01,"GS5",2.13
2009-06-01,"GS5",2.71
2009-07-01,"GS5",2.46
2009-08-01,"GS5",2.57
2009-09-01,"GS5",2.37
2009-10-01,"GS5",2.33
