"DATE","GS1","GS10","GS3","GS30","GS5","UNRATE"
"2010-04-01",0.45,3.85,1.64,4.69,2.58,9.9
"2010-05-01",0.37,3.42,1.32,4.29,2.18,9.6
"2010-06-01",0.32,3.2,1.17,4.13,2,9.4
"2010-07-01",0.29,3.01,0.98,3.99,1.76,9.4
"2010-08-01",0.26,2.7,0.78,3.8,1.47,9.5
"2010-09-01",0.26,2.65,0.74,3.77,1.41,9.5
"2010-10-01",0.23,2.54,0.57,3.87,1.18,9.4
"2010-11-01",0.25,2.76,0.67,4.19,1.35,9.8
"2010-12-01",0.29,3.29,0.99,4.42,1.93,9.3
"2011-01-01",0.27,3.39,1.03,4.52,1.99,9.1
"2011-02-01",0.29,3.58,1.28,4.65,2.26,9
"2011-03-01",0.26,3.41,1.17,4.51,2.11,9
"2011-04-01",0.25,3.46,1.21,4.5,2.17,9.1
"2011-05-01",0.19,3.17,0.94,4.29,1.84,9
"2011-06-01",0.18,3,0.71,4.23,1.58,9.1
"2011-07-01",0.19,3,0.68,4.27,1.54,9
"2011-08-01",0.11,2.3,0.38,3.65,1.02,9
"2011-09-01",0.1,1.98,0.35,3.18,0.9,9
"2011-10-01",0.11,2.15,0.47,3.13,1.06,8.8
"2011-11-01",0.11,2.01,0.39,3.02,0.91,8.6
"2011-12-01",0.12,1.98,0.39,2.98,0.89,8.5
"2012-01-01",0.12,1.97,0.36,3.03,0.84,8.3
"2012-02-01",0.16,1.97,0.38,3.11,0.83,8.3
"2012-03-01",0.19,2.17,0.51,3.28,1.02,8.2
"2012-04-01",0.18,2.05,0.43,3.18,0.89,8.2
"2012-05-01",0.19,1.8,0.39,2.93,0.76,8.2
"2012-06-01",0.19,1.62,0.39,2.7,0.71,8.2
"2012-07-01",0.19,1.53,0.33,2.59,0.62,8.2
"2012-08-01",0.18,1.68,0.37,2.77,0.71,8.1
"2012-09-01",0.18,1.72,0.34,2.88,0.67,7.8
"2012-10-01",0.18,1.75,0.37,2.9,0.71,7.8
"2012-11-01",0.18,1.65,0.36,2.8,0.67,7.7
"2012-12-01",0.16,1.72,0.35,2.88,0.7,7.9
"2013-01-01",0.15,1.91,0.39,3.08,0.81,8
"2013-02-01",0.16,1.98,0.4,3.17,0.85,7.7
"2013-03-01",0.15,1.96,0.39,3.16,0.82,7.5
"2013-04-01",0.12,1.76,0.34,2.93,0.71,7.6
"2013-05-01",0.12,1.93,0.4,3.11,0.84,7.5
"2013-06-01",0.14,2.3,0.58,3.4,1.2,7.5
